symbol,time,assets,owner,shares,underlying,caller,tx,chain,contract,block
xMPL,1654556693,108.7744422,0x72947491Dc1705686aef0Dcb63A9175294249a1b,108.6256297,0x33349B282065b0284d756F0577FB39c158F935e6,0x72947491Dc1705686aef0Dcb63A9175294249a1b,0xe5863fc7b3f71b8539d206dd3068e0ebc0c4ecc4cb493079a6dcdf0e73322e78,ethereum,0x4937A209D4cDbD3ecD48857277cfd4dA4D82914c,14917523
vTHOR,1654606514,10246.93308,0x3c0499EC16cBFA833d91395A4f8d623fCc50309C,9055.029611,0xa5f2211B9b8170F694421f2046281775E8468044,0x3c0499EC16cBFA833d91395A4f8d623fCc50309C,0xebc067bcb791a0648a81169ee7c541c26d1a2a204253942ad1391e4fa0928f55,ethereum,0x815C23eCA83261b6Ec689b60Cc4a58b54BC24D8D,14920923
vTHOR,1654852113,2128.332315,0xc3e0C9376470A207e8Fb1e33f44A4DBb0dA4bAC8,1870.679169,0xa5f2211B9b8170F694421f2046281775E8468044,0xc3e0C9376470A207e8Fb1e33f44A4DBb0dA4bAC8,0xf58a15bcaf99f28c664dd3af8fb5f933eeef38cbc32cf0c869de4ac15680172c,ethereum,0x815C23eCA83261b6Ec689b60Cc4a58b54BC24D8D,14937592
xMPL,1654698622,2301.7774,0x05f13dBAaa5a5fE2fB27A60c431535c0190dfd3e,2298.246259,0x33349B282065b0284d756F0577FB39c158F935e6,0x05f13dBAaa5a5fE2fB27A60c431535c0190dfd3e,0xacdc498418af75c1a9322e7137eba0ef9a163db8ee35a0104a6a23a1872b2e83,ethereum,0x4937A209D4cDbD3ecD48857277cfd4dA4D82914c,14927200
xMPL,1654590395,149.2128107,0xe2008b01A2AD0A9AeEA9f71ecC6A176138553a61,149.0023337,0x33349B282065b0284d756F0577FB39c158F935e6,0xe2008b01A2AD0A9AeEA9f71ecC6A176138553a61,0x54bca2488196dd000892d1bf06a58ece1c754c25f980ad1b8842c592deed51f0,ethereum,0x4937A209D4cDbD3ecD48857277cfd4dA4D82914c,14919815
xMPL,1654558893,9.8327129,0x87760d238Bc8A46d64990185aB357CAF99740d09,9.819233055,0x33349B282065b0284d756F0577FB39c158F935e6,0x87760d238Bc8A46d64990185aB357CAF99740d09,0xbb2d6d3d3910af80316f7a0f9a81508047220cc618a97cc0bcf7300b18d2db8b,ethereum,0x4937A209D4cDbD3ecD48857277cfd4dA4D82914c,14917667
xMPL,1654610643,1192.135115,0x67A6009424Cb2daeAAA9BcB414b48DeA4bEfc265,1190.423255,0x33349B282065b0284d756F0577FB39c158F935e6,0x67A6009424Cb2daeAAA9BcB414b48DeA4bEfc265,0x4de354c67cd799ce58f1a6e355ec55f281c5cbf735388fa78d5fc38b9a345b02,ethereum,0x4937A209D4cDbD3ecD48857277cfd4dA4D82914c,14921203
vTHOR,1654590844,48104.90196,0xa1e11A98b54457Fe7D1EAfB873Aae03f48dFFd09,42561.83899,0xa5f2211B9b8170F694421f2046281775E8468044,0xa1e11A98b54457Fe7D1EAfB873Aae03f48dFFd09,0x3acf6c82c0eb6690e5a7a193d1a103e66e09cd216d3bb94bce5d7544a42c51f0,ethereum,0x815C23eCA83261b6Ec689b60Cc4a58b54BC24D8D,14919845
vTHOR,1654559079,7181.886311,0x40148045090af9bc3e575f07862BC6696E9B3099,6354.327238,0xa5f2211B9b8170F694421f2046281775E8468044,0x40148045090af9bc3e575f07862BC6696E9B3099,0xe461ac9bdeac8ca8f79743423be5a4298aad3c87ce762a4b4138e9e591a8611e,ethereum,0x815C23eCA83261b6Ec689b60Cc4a58b54BC24D8D,14917675
uCVX,1654698836,6.925232428,0x29E3DdF94d76C97FcD43D07Fc8B15A03AD233A40,6.918854535,0xBCe0Cf87F513102F22232436CCa2ca49e815C3aC,0x35A398425d9f1029021A92bc3d2557D42C8588D7,0x7e27e635ae8aa3a53e7984b7cf58e58a2756f9342b2d4e2a15faa05a793cd4ed,ethereum,0x8659Fc767cad6005de79AF65dAfE4249C57927AF,14927217
